method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40,# Damaged Beams
PartA2_7940,KITTIDataset,I,TRUE,FALSE,80,82.94715766,59.76,70.15617651,0
PartA2_7941,KITTIDataset,"2,28",TRUE,FALSE,80,79.7836759,58.42611135,58.88,2
PartA2_7942,KITTIDataset,"2,8,16,28",TRUE,FALSE,80,79.56681767,56.00283469,58.71417233,4
PartA2_7943,KITTIDataset,"2,8,12,16,24,28",TRUE,FALSE,80,76.9673983,45.90200265,49.21807044,6
PartA2_7944,KITTIDataset,"2,8,12,16,18,20,24,28",TRUE,FALSE,80,76.14,36.40862854,42.70416432,8
PartA2_7945,KITTIDataset,"2,8,10,12,14,16,18,20,24,28",TRUE,FALSE,80,75.40086861,33.90789645,41.23144686,10
PartA2_7946,KITTIDataset,"2,4,6,8,10,12,14,16,18,20,24,28",TRUE,FALSE,80,75.33921152,33.97130255,41.23577967,12
PartA2_7947,KITTIDataset,"2,4,6,8,10,12,14,16,18,20,22,24,26,28",TRUE,FALSE,80,67.72606699,21.95593628,30.69736509,14
PartA2_7948,KITTIDataset,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",TRUE,FALSE,80,67.71744247,21.95858508,30.68680139,16
PartA2_7940,KITTIDataset,"2,4,6,8,9,10,12,14,16,18,19,20,22,24,25,26,28,30",TRUE,FALSE,80,44.25081525,3.341042137,7.70852822,18
PartA2_7940,KITTIDataset,"2,4,5,6,8,9,10,12,14,15,16,18,19,20,22,24,25,26,28,30",TRUE,FALSE,80,40.08670575,1.210135974,4.59525216,20
PartA2_7949,KITTIDataset,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20,22,23,24,26,27,28,30",TRUE,FALSE,80,21.38219171,1.16,0.361294558,22
