,method,dataset,# of damaged beams,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
0,pv_rcnn_8369,KITTIDataset,1,84.35763766113645,55.182029395111634,69.72084145439565
1,pv_rcnn_8369,KITTIDataset,2,82.86786768074143,53.901961033761594,69.28242724595461
2,pv_rcnn_8369,KITTIDataset,4,82.73206664480976,52.77020347829624,67.30086399192268
3,pv_rcnn_8369,KITTIDataset,6,82.4376563720422,50.65480552877606,66.1317230514014
4,pv_rcnn_8369,KITTIDataset,8,81.78418310300792,50.117116329846475,63.15034774455089
5,pv_rcnn_8369,KITTIDataset,10,81.07578364999918,48.06171446788313,61.59718874936916
6,pv_rcnn_8369,KITTIDataset,12,80.47751211273538,46.73545168647415,59.01349837524289
7,pv_rcnn_8369,KITTIDataset,14,80.08703787435425,47.263254285170035,58.31500170574699
8,pv_rcnn_8369,KITTIDataset,16,75.89822915573113,38.37081321706581,51.203146130836856
9,pv_rcnn_8369,KITTIDataset,18,75.13473350975123,37.98123461522592,51.51958763606164
10,pv_rcnn_8369,KITTIDataset,20,72.99677581068379,33.58522184258008,45.08176797124996
11,pv_rcnn_8369,KITTIDataset,22,74.47890633267848,37.1425488963421,49.11646002763738
12,pv_rcnn_8369,KITTIDataset,24,70.08289732109569,31.821559473909264,41.16488384443361
13,pv_rcnn_8369,KITTIDataset,26,67.51173123654284,28.85927103487965,38.76248514553074
14,pv_rcnn_8369,KITTIDataset,28,67.97512751710516,27.50521733022258,36.96440263841971
15,pv_rcnn_8369,KITTIDataset,30,65.51409528670104,23.328909961629197,30.95574191037148
16,pv_rcnn_8369,KITTIDataset,32,63.69992253392695,16.03927776258681,23.831761082602984
17,pv_rcnn_8369,KITTIDataset,34,62.80462935010047,18.38968846008087,24.765942213232044
18,pv_rcnn_8369,KITTIDataset,36,61.85423779090794,15.803486202884717,21.850657404433527
19,pv_rcnn_8369,KITTIDataset,38,56.3280868039637,15.480911218132974,21.138947031067453
20,pv_rcnn_8369,KITTIDataset,40,47.40200661590352,11.219842360979028,13.517864398484306
21,pv_rcnn_8369,KITTIDataset,42,44.95075110230549,6.904545295397293,10.40061178516202
22,pv_rcnn_8369,KITTIDataset,44,42.06442897947302,8.340836645035193,10.367819399448209
23,pv_rcnn_8369,KITTIDataset,46,36.096316328833,5.8352026233868814,4.6445854367019495
24,pv_rcnn_8369,KITTIDataset,48,32.11172647084701,3.6004715632177025,2.796728150235642
25,pv_rcnn_8369,KITTIDataset,50,20.105901264222318,1.1227484037244195,1.2861488727862433
26,pv_rcnn_8369,KITTIDataset,52,18.06600833856707,1.811086680107445,1.543016820089041
27,pv_rcnn_8369,KITTIDataset,54,14.26241891551461,0.4820524218315332,0.396195904388435
28,pv_rcnn_8369,KITTIDataset,56,13.872333961587923,0.27386326360470525,0.26336894370302505
29,pv_rcnn_8369,KITTIDataset,58,6.294398789688334,0.04600420470150054,0.05718954248366013
