# beam removed,car_AP@0.5_mean,car_AP@0.5_std,truck_AP@0.5_mean,truck_AP@0.5_std,bus_AP@0.5_mean,bus_AP@0.5_std,trailer_AP@0.5_mean,trailer_AP@0.5_std,construction_vehicle_AP@0.5_mean,construction_vehicle_AP@0.5_std,pedestrian_AP@0.5_mean,pedestrian_AP@0.5_std,motorcycle_AP@0.5_mean,motorcycle_AP@0.5_std,bicycle_AP@0.5_mean,bicycle_AP@0.5_std,traffic_cone_AP@0.5_mean,traffic_cone_AP@0.5_std,barrier_AP@0.5_mean,barrier_AP@0.5_std
0,71.96,,33.05,,41.22,,10.25,,0.94,,74.41,,37.13,,16.31,,53.17,,46.45,
2,71.12,0.857274752,32.36454545,0.458505477,40.60090909,0.671393395,10.21363636,1.174634179,0.949090909,0.075954532,73.64454545,0.835097164,36.40818182,1.307270578,15.95909091,0.667344807,52.91454545,0.672597408,45.44,1.632684905
4,70.10636364,0.70838228,32.06636364,0.502140871,40.19181818,1.064845699,9.627272727,0.870874169,0.844545455,0.144938859,73.23272727,0.760001196,35.37272727,0.904545089,15.28818182,0.70119638,52.39181818,0.606660007,45.05909091,1.466965947
6,68.43727273,1.675679509,31.19272727,0.968360376,39.21636364,1.300340515,10.00454545,0.634150828,0.716363636,0.153640667,71.19272727,1.868614946,33.00090909,2.15952057,14.25363636,1.442139194,51.31454545,1.337821839,42.68545455,3.102645206
8,65.55090909,2.405890499,29.12545455,1.772187144,37.19090909,2.246372429,7.904545455,1.573736723,0.457272727,0.235673117,68.33181818,3.15733691,30.30727273,2.569953661,12.38454545,1.236902289,48.65272727,1.974634604,41.27272727,2.701636878
10,63.45181818,5.347776768,28.42727273,2.747060578,36.43454545,2.721074654,7.655454545,2.084842266,0.35,0.233366664,66.35909091,4.637071176,29.38636364,3.333092476,11.48545455,2.418724307,46.7,5.190048169,39.25545455,3.023472717
12,60.52,4.455437128,27.20272727,2.07631448,34.53272727,2.451506031,7.386363636,1.797605478,0.278181818,0.216000842,63.82636364,3.820437862,26.76,4.415846465,9.254545455,2.450091278,44.57545455,4.104493546,37.15727273,3.632002453
14,57.99727273,4.379420261,25.59,2.952961226,31.62818182,4.845655411,5.683636364,2.604973216,0.168181818,0.156577021,60.57545455,6.302087533,24.24545455,4.225783628,8.4,2.216682205,42.50272727,4.477175652,34.60545455,4.888264239
16,53.67272727,6.41224156,22.89090909,3.81980485,29.42727273,4.449575465,4.003636364,2.631874893,0.074545455,0.134860197,55.57363636,7.637638736,19.22909091,5.085873484,6.234545455,2.499189323,38.54636364,6.295857801,31.40909091,5.994678398
18,49.79272727,7.238700285,20.97090909,4.759015559,26.54272727,6.241008077,4.010909091,2.284952755,0.076363636,0.116470831,51.39181818,8.90713177,16.64181818,5.251608931,5.286363636,2.175620706,35.44454545,6.758600985,29.70363636,6.377841755
20,45.71818182,11.11829377,18.87,6.850213135,23.22181818,7.685028065,3.278181818,2.662607061,0.072727273,0.144436208,46.33090909,13.03004409,14.44727273,7.917523718,4.393636364,2.870499165,30.54454545,10.10746097,26.47636364,9.925025212
22,35.77,1.949410167,12.3975,2.854439525,15.18,5.357480751,0.5925,0.987568563,0,0,33.7775,6.091701322,7.5125,3.493177875,1.8025,1.17607752,22.9175,2.933057279,18.0325,7.803688765
